epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.049,0.89451,3.16521,1.25407,0.73546,0.60018,0.63695,0.56933,0.46018,1.66314,0.95154,0.0671557,0.000331761,0.000331761
2,244.409,0.75231,1.64637,1.1621,0.85415,0.81855,0.86366,0.79629,0.37137,0.81727,0.87647,0.0341524,0.000661802,0.000661802
3,363.34,0.66109,1.08865,1.0856,0.95401,0.8712,0.91959,0.85104,0.33773,0.60581,0.85391,0.00114578,0.000988543,0.000988543
4,484.179,0.60563,0.79682,1.02292,0.97154,0.87261,0.91991,0.86215,0.30989,0.40543,0.83736,0.00098515,0.00098515,0.00098515
5,602.699,0.56357,0.67257,1.01048,0.95161,0.90242,0.94477,0.88422,0.31346,0.33871,0.83342,0.0009802,0.0009802,0.0009802
6,721.65,0.54935,0.57859,0.99118,0.96654,0.90569,0.95507,0.88895,0.31624,0.31572,0.83046,0.00097525,0.00097525,0.00097525
7,861.695,0.5268,0.53772,0.97077,0.98784,0.92493,0.95833,0.90721,0.28905,0.28245,0.81353,0.0009703,0.0009703,0.0009703
8,993.48,0.52996,0.52078,0.97689,0.98837,0.91103,0.95829,0.90744,0.30165,0.283,0.82038,0.00096535,0.00096535,0.00096535
9,1110.59,0.53187,0.49084,0.97633,0.97537,0.91774,0.96042,0.90803,0.29469,0.27633,0.82083,0.0009604,0.0009604,0.0009604
10,1227.61,0.49845,0.45539,0.95209,0.99205,0.9196,0.96381,0.91799,0.28465,0.25472,0.80435,0.00095545,0.00095545,0.00095545
11,1344.48,0.50861,0.47435,0.96747,0.98275,0.92024,0.95816,0.90869,0.29348,0.28065,0.81379,0.0009505,0.0009505,0.0009505
12,1461.58,0.4831,0.46349,0.9451,0.99304,0.92918,0.9602,0.91285,0.28024,0.26574,0.81036,0.00094555,0.00094555,0.00094555
13,1578.86,0.481,0.42452,0.94283,0.97184,0.93786,0.95722,0.90982,0.28221,0.28165,0.81413,0.0009406,0.0009406,0.0009406
14,1695.97,0.47413,0.4237,0.93616,0.98645,0.91715,0.96847,0.92084,0.29023,0.25267,0.8133,0.00093565,0.00093565,0.00093565
15,1813.78,0.46551,0.42562,0.93924,0.98301,0.93733,0.96539,0.91923,0.2792,0.24521,0.8121,0.0009307,0.0009307,0.0009307
16,1930.15,0.48323,0.41162,0.94983,0.99741,0.92951,0.9689,0.93071,0.27607,0.24004,0.80744,0.00092575,0.00092575,0.00092575
17,2047.44,0.4758,0.41316,0.93463,0.98866,0.92136,0.96975,0.92762,0.27078,0.23869,0.81018,0.0009208,0.0009208,0.0009208
18,2164.89,0.47657,0.41868,0.94111,0.98728,0.90916,0.95962,0.91914,0.27861,0.28651,0.80982,0.00091585,0.00091585,0.00091585
19,2280.76,0.46275,0.4051,0.93789,0.98415,0.92958,0.96671,0.91973,0.27112,0.25735,0.80621,0.0009109,0.0009109,0.0009109
20,2397.74,0.47225,0.39595,0.94134,0.99653,0.93198,0.9656,0.91301,0.30604,0.25926,0.82261,0.00090595,0.00090595,0.00090595
21,2514.32,0.46898,0.39102,0.93961,0.99574,0.93625,0.9663,0.92064,0.28969,0.25495,0.81758,0.000901,0.000901,0.000901
22,2630.85,0.46782,0.39481,0.9317,0.98537,0.93084,0.96637,0.91922,0.29537,0.25666,0.82072,0.00089605,0.00089605,0.00089605
23,2747.15,0.46572,0.39316,0.92985,0.99385,0.93198,0.96636,0.92275,0.28547,0.26176,0.81068,0.0008911,0.0008911,0.0008911
24,2865.03,0.4856,0.40518,0.94711,0.98792,0.92941,0.96847,0.92356,0.2876,0.25117,0.81649,0.00088615,0.00088615,0.00088615
25,2982.13,0.44058,0.36842,0.92431,0.98301,0.93314,0.97234,0.93169,0.26685,0.23355,0.80588,0.0008812,0.0008812,0.0008812
26,3100.2,0.44533,0.37569,0.92201,0.98668,0.93128,0.97187,0.92515,0.28758,0.24623,0.80928,0.00087625,0.00087625,0.00087625
27,3217.14,0.44382,0.35859,0.92097,0.9895,0.9296,0.97096,0.92295,0.28233,0.25253,0.80412,0.0008713,0.0008713,0.0008713
28,3334.69,0.45944,0.37117,0.93071,0.97733,0.92947,0.96998,0.92378,0.2768,0.23729,0.8052,0.00086635,0.00086635,0.00086635
29,3452.27,0.43287,0.36644,0.92145,0.98363,0.92501,0.96636,0.92118,0.28146,0.25923,0.80374,0.0008614,0.0008614,0.0008614
30,3569.23,0.44933,0.36457,0.91687,0.97959,0.94117,0.97158,0.92891,0.27874,0.24253,0.80209,0.00085645,0.00085645,0.00085645
31,3686.81,0.44875,0.36535,0.92299,0.9867,0.92911,0.9701,0.93006,0.27287,0.24378,0.80408,0.0008515,0.0008515,0.0008515
32,3804.12,0.44694,0.36881,0.92349,0.99468,0.93058,0.97325,0.92824,0.28607,0.24412,0.80736,0.00084655,0.00084655,0.00084655
33,3920.95,0.42742,0.34892,0.9107,0.98246,0.93189,0.97211,0.92932,0.28032,0.24237,0.80848,0.0008416,0.0008416,0.0008416
34,4038.01,0.44318,0.35476,0.9224,0.98864,0.92139,0.9698,0.9261,0.26881,0.25187,0.81437,0.00083665,0.00083665,0.00083665
35,4155.56,0.41969,0.34659,0.90138,0.99052,0.91863,0.96668,0.9253,0.27304,0.25591,0.81075,0.0008317,0.0008317,0.0008317
36,4279.56,0.42486,0.34444,0.91479,0.99149,0.93198,0.9662,0.92386,0.28124,0.2533,0.82304,0.00082675,0.00082675,0.00082675
37,4405.7,0.43525,0.34865,0.92012,0.9906,0.93161,0.97127,0.92437,0.26759,0.23798,0.80496,0.0008218,0.0008218,0.0008218
38,4521.98,0.43098,0.33767,0.92081,0.99162,0.92776,0.97225,0.93111,0.27131,0.23745,0.80601,0.00081685,0.00081685,0.00081685
39,4639.94,0.42329,0.33827,0.91567,0.99189,0.92157,0.96697,0.92958,0.25866,0.24714,0.80447,0.0008119,0.0008119,0.0008119
40,4756.42,0.41965,0.34839,0.91318,0.98349,0.92937,0.97114,0.93143,0.2691,0.22512,0.80123,0.00080695,0.00080695,0.00080695
41,4872.44,0.43903,0.34935,0.92596,0.99224,0.92411,0.97007,0.93168,0.2649,0.24706,0.80779,0.000802,0.000802,0.000802
